id,name,abbr,color,photo,gp,g,a,pts,plusMinus
Adrian_Kempe,Adrian Kempe,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477960.png,68,26,33,59,8
Andrei_Svechnikov,Andrei Svechnikov,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480830.png,69,25,34,59,1
Dylan_Guenther,Dylan Guenther,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482699.png,68,34,25,59,6
Kirill_Marchenko,Kirill Marchenko,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480893.png,63,25,33,58,5
Miro_Heiskanen,Miro Heiskanen,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480036.png,67,9,49,58,16
Alex_Tuch,Alex Tuch,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477949.png,67,28,30,58,19
Matthew_Knies,Matthew Knies,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482720.png,68,18,39,57,-19
Pavel_Dorofeyev,Pavel Dorofeyev,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481604.png,70,34,23,57,-3
John_Tavares,John Tavares,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475166.png,71,25,32,57,-26
Leo_Carlsson,Leo Carlsson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8484153.png,57,24,32,56,2
Bryan_Rust,Bryan Rust,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475810.png,62,26,30,56,5
Seth_Jarvis,Seth Jarvis,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482093.png,61,28,28,56,6
Nikolaj_Ehlers,Nikolaj Ehlers,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477940.png,69,20,36,56,6
Brock_Nelson,Brock Nelson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475754.png,68,31,25,56,10
Gabriel_Vilardi,Gabriel Vilardi,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480014.png,69,26,30,56,-8
Dylan_Larkin,Dylan Larkin,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477946.png,63,28,27,55,7
Charlie_Coyle,Charlie Coyle,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475745.png,69,17,38,55,11
Steven_Stamkos,Steven Stamkos,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8474564.png,69,33,22,55,-21
Jack_Hughes,Jack Hughes,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481559.png,48,18,37,55,-3
Jesper_Bratt,Jesper Bratt,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479407.png,69,17,38,55,-16
Trevor_Zegras,Trevor Zegras,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481533.png,69,22,33,55,-2
Tomas_Hertl,Tomas Hertl,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476881.png,70,24,30,54,-14
Brad_Marchand,Brad Marchand,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8473419.png,52,27,27,54,-16
Erik_Karlsson,Erik Karlsson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8474578.png,64,11,43,54,14
Sam_Bennett,Sam Bennett,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477935.png,68,25,28,53,-9
Anthony_Mantha,Anthony Mantha,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477511.png,69,26,27,53,14
Auston_Matthews,Auston Matthews,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479318.png,60,27,26,53,-4
Charlie_McAvoy,Charlie McAvoy,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479325.png,58,9,44,53,8
Alex_Ovechkin,Alex Ovechkin,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8471214.png,70,25,27,52,-3
Ivan_Demidov,Ivan Demidov,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8484984.png,69,14,38,52,3
Tom_Wilson,Tom Wilson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476880.png,60,25,27,52,15
Nico_Hischier,Nico Hischier,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480002.png,69,24,28,52,-11
Adam_Fantilli,Adam Fantilli,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8484166.png,69,21,31,52,-10
Evgeni_Malkin,Evgeni Malkin,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8471215.png,49,15,37,52,14
Beckett_Sennecke,Beckett Sennecke,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8484762.png,69,20,32,52,-14
Dylan_Cozens,Dylan Cozens,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481528.png,69,24,27,51,-9
Jakob_Chychrun,Jakob Chychrun,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479345.png,68,23,28,51,15
Ryan_Nugent-Hopkins,Ryan Nugent-Hopkins,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476454.png,61,18,33,51,-13
Pavel_Zacha,Pavel Zacha,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478401.png,67,23,28,51,-1
Matthew_Schaefer,Matthew Schaefer,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8485366.png,70,22,29,51,14
Dylan_Strome,Dylan Strome,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478440.png,68,16,34,50,3
Tyler_Bertuzzi,Tyler Bertuzzi,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477479.png,66,28,21,49,-21
Carter_Verhaeghe,Carter Verhaeghe,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477409.png,67,20,29,49,-11
Ryan_McLeod,Ryan McLeod,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480802.png,70,12,37,49,28
Bo_Horvat,Bo Horvat,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477500.png,56,28,21,49,10
Troy_Terry,Troy Terry,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478873.png,49,14,35,49,11
Jordan_Eberle,Jordan Eberle,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8474586.png,67,22,27,49,6
Anthony_Cirelli,Anthony Cirelli,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478519.png,60,19,29,48,32
Moritz_Seider,Moritz Seider,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481542.png,70,9,39,48,20
Ivan_Barbashev,Ivan Barbashev,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477964.png,70,19,29,48,9
Vincent_Trocheck,Vincent Trocheck,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476389.png,54,15,33,48,-16
