assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
48,10,42,,0,66,15,Dahlin,0,64,8480839,13,63,0.95454,D,5,21,20252026,0,0,0.08982,L,167,Rasmus Dahlin,BUF,1461.803
26,27,46,0.49473,7,68,36,Gauthier,1,26,8483445,1,62,0.91176,L,9,16,20252026,0,0,0.14117,L,255,Cutter Gauthier,ANA,1047.5882
34,18,42,0.55693,4,58,28,Crosby,1,42,8471675,0,62,1.06896,C,10,20,20252026,0,0,0.20437,L,137,Sidney Crosby,PIT,1175.3965
41,14,37,0.30769,4,48,21,Stone,2,9,8475913,13,62,1.29166,R,7,24,20252026,0,1,0.20388,R,103,Mark Stone,VGK,1150.3958
27,22,37,0.46103,5,69,34,Geekie,1,18,8479987,-5,61,0.88405,C,12,24,20252026,0,0,0.21518,R,158,Morgan Geekie,BOS,1045.2753
34,13,37,0.33333,2,69,27,Slafkovský,0,44,8483515,5,61,0.88405,L,14,24,20252026,0,0,0.1788,L,151,Juraj Slafkovský,MTL,1094.3478
34,17,38,0.47368,5,66,27,Batherson,0,25,8480208,-4,61,0.92424,R,10,23,20252026,0,0,0.1862,R,145,Drake Batherson,OTT,1050.7727
37,17,47,0.46573,6,70,24,Schmaltz,0,26,8477951,22,61,0.87142,C,6,13,20252026,1,1,0.14457,R,166,Nick Schmaltz,UTA,1185.1428
32,15,32,0.38095,6,64,29,Reinhart,1,10,8477933,-18,61,0.95312,C,11,25,20252026,3,4,0.17469,R,166,Sam Reinhart,FLA,1277.2031
42,9,37,,5,61,18,Raddysh,1,48,8478178,24,60,0.9836,D,9,23,20252026,0,0,0.10588,R,170,Darren Raddysh,TBL,1363.9344
35,23,47,0.35416,2,65,25,Konecny,0,55,8478439,12,60,0.92307,R,1,11,20252026,1,2,0.17361,R,144,Travis Konecny,PHI,1158.4461
25,27,42,0.40322,6,68,34,Guenther,3,26,8482699,6,59,0.86764,R,7,17,20252026,0,0,0.16037,R,212,Dylan Guenther,UTA,1034.8382
33,23,46,0.35915,7,68,26,Kempe,4,56,8477960,8,59,0.86764,R,3,11,20252026,0,2,0.13612,L,191,Adrian Kempe,LAK,1160.3382
34,17,37,0.47619,3,69,25,Svechnikov,0,56,8480830,1,59,0.85507,R,8,22,20252026,0,0,0.14367,L,174,Andrei Svechnikov,CAR,1022.2028
29,22,38,0.34482,2,69,30,Forsberg,0,32,8476887,-5,59,0.85507,L,8,21,20252026,0,0,0.14018,R,214,Filip Forsberg,NSH,1132.8695
49,6,34,,3,67,9,Heiskanen,1,22,8480036,16,58,0.86567,D,2,23,20252026,1,1,0.06716,L,134,Miro Heiskanen,DAL,1549.985
30,18,44,0.42647,2,67,28,Tuch,1,49,8477949,19,58,0.86567,R,7,9,20252026,3,5,0.17073,R,164,Alex Tuch,BUF,1129.9552
33,18,36,0.42857,6,63,25,Marchenko,1,30,8480893,5,58,0.92063,R,6,21,20252026,1,1,0.13513,R,185,Kirill Marchenko,CBJ,1128.9047
39,14,45,0.2,2,68,18,Knies,0,25,8482720,-19,57,0.83823,L,4,12,20252026,0,0,0.14285,L,126,Matthew Knies,TOR,1137.647
23,16,30,0.0,4,70,34,Dorofeyev,0,22,8481604,-3,57,0.81428,R,18,27,20252026,0,0,0.17346,L,196,Pavel Dorofeyev,VGK,1051.2142
32,17,45,0.57791,2,71,25,Tavares,1,28,8475166,-26,57,0.80281,C,8,12,20252026,0,0,0.1445,L,173,John Tavares,TOR,1081.6619
28,21,37,0.42465,6,61,28,Jarvis,2,21,8482093,6,56,0.91803,C,4,16,20252026,3,3,0.14583,R,192,Seth Jarvis,CAR,1139.8032
32,18,39,0.44649,3,57,24,Carlsson,1,31,8484153,2,56,0.98245,C,4,14,20252026,2,3,0.16326,L,147,Leo Carlsson,ANA,1150.9473
30,17,32,0.15384,4,62,26,Rust,0,18,8475810,5,56,0.90322,R,8,23,20252026,1,1,0.16049,R,162,Bryan Rust,PIT,1205.387
25,22,42,0.50571,8,68,31,Nelson,0,28,8475754,10,56,0.82352,C,9,14,20252026,0,0,0.18902,L,164,Brock Nelson,COL,1181.8382
30,16,37,0.45054,2,69,26,Vilardi,0,20,8480014,-8,56,0.81159,C,10,19,20252026,0,0,0.19696,R,132,Gabriel Vilardi,WPG,1127.2608
36,14,36,0.36666,4,69,20,Ehlers,1,10,8477940,6,56,0.81159,L,6,20,20252026,0,0,0.11834,L,169,Nikolaj Ehlers,CAR,995.8695
38,12,36,0.3,3,69,17,Bratt,1,12,8479407,-16,55,0.7971,L,4,18,20252026,1,1,0.11111,L,153,Jesper Bratt,NJD,1128.6521
22,23,34,0.55377,10,69,33,Stamkos,3,40,8474564,-21,55,0.7971,C,10,21,20252026,0,0,0.20121,R,164,Steven Stamkos,NSH,1068.0869
38,12,44,0.50775,3,69,17,Coyle,0,12,8475745,11,55,0.7971,C,5,11,20252026,0,0,0.136,R,125,Charlie Coyle,CBJ,1077.2028
27,18,37,0.52558,8,63,28,Larkin,4,42,8477946,7,55,0.87301,C,10,18,20252026,0,0,0.14659,L,191,Dylan Larkin,DET,1215.4285
37,14,36,0.362,3,48,18,Hughes,1,4,8481559,-3,55,1.14583,C,4,19,20252026,0,0,0.10588,L,170,Jack Hughes,NJD,1263.5208
